id,title,media_type,original_title,release_date,year,format,genre,director,rating,user_rating,tmdb_id,tmdb_media_type,tmdb_url,poster_path,backdrop_path,overview,trailer_url,runtime,upc,location,notes,season_number,episode_number,episode_title,network,type_details,series_id,space_id,library_id,import_source,added_by,created_at,updated_at,signed_by,signed_role,signed_on,signed_at,signed_proof_path,cast_members,owned_formats,estimated_value_low,estimated_value_mid,estimated_value_high,valuation_currency,valuation_source,valuation_last_updated,tv_season_count,tv_completed_season_count,tv_all_seasons_completed,cast
3818,All the Light We Cannot See,tv_series,,2023-11-02T00:00:00.000Z,2023,Digital,,Michael Pontvert,,,155421,tv,https://www.themoviedb.org/tv/155421,/5vctOvdEXakZWTJrP8bgPEoCbqS.jpg,/zJ4MVqFge0XnrDnpjo6l6Mz7lmz.jpg,"The story of Marie-Laure, a blind French teenager, and Werner, a German soldier, whose paths collide in occupied France as both try to survive the devastation of World War II.",,60,,,Imported from Plex section 2,,,,21 Laps Entertainment,,,1,7,plex,1,2026-03-08T16:47:36.340Z,2026-04-20T05:29:46.468Z,,,,,,"Aria Mia Loberti, Louis Hofmann, Lars Eidinger, Hugh Laurie, Mark Ruffalo","[""digital""]",,,,,,,1,1,true,"Aria Mia Loberti, Louis Hofmann, Lars Eidinger, Hugh Laurie, Mark Ruffalo"
3819,Altered Carbon,tv_series,,2018-02-02T00:00:00.000Z,2018,Digital,,Robyn Ledoux,,,68421,tv,https://www.themoviedb.org/tv/68421,/66rKwpSexUZ3yTv5lBS1bjU4Ykk.jpg,/A6I3M4MIA2Pi2gS6vGdg2eVlVXT.jpg,"Set in a future where consciousness is digitized and stored, a prisoner returns to life in a new body and must solve a mind-bending murder to win his freedom.",,60,,,Imported from Plex section 2,,,,Mythology Entertainment,,,1,7,plex,1,2026-03-08T16:47:36.532Z,2026-04-20T05:29:46.770Z,,,,,,"Anthony Mackie, Renée Elise Goldsberry, Chris Conner, Lela Loren, Simone Missick, Torben Liebrecht, Dina Shihabi","[""digital""]",,,,,,,2,2,true,"Anthony Mackie, Renée Elise Goldsberry, Chris Conner, Lela Loren, Simone Missick, Torben Liebrecht, Dina Shihabi"
3820,Ambassadors,tv_series,,2013-10-23T00:00:00.000Z,2013,Digital,,Jeremy Webb,,,60566,tv,https://www.themoviedb.org/tv/60566,/39Qf3G9gnTHz6Bmi8CKxV2uj378.jpg,/4N7IcVZFPplmKa3Ute6a1h6Fh3x.jpg,Comedy-drama series set in the fictional Central Asian Republic of Tazbekistan where newly arrived British Ambassador Keith Davies is set the task of trying to secure a £2 billion helicopter contract for the United Kingdom.,,60,,,Imported from Plex section 2,,,,Big Talk Studios,,,1,7,plex,1,2026-03-08T16:47:36.746Z,2026-04-20T05:29:47.056Z,,,,,,"David Mitchell, Robert Webb, Susan Lynch, Amara Karan, Oliver Dimsdale, Shivani Ghai, Keeley Hawes, Natalia Tena","[""digital""]",,,,,,,1,1,true,"David Mitchell, Robert Webb, Susan Lynch, Amara Karan, Oliver Dimsdale, Shivani Ghai, Keeley Hawes, Natalia Tena"
3821,Amphibia,tv_series,,2019-06-14T00:00:00.000Z,2019,Digital,,,,,85349,tv,https://www.themoviedb.org/tv/85349,/bFCgv9iWZECWSDxNQYc9soqvwjx.jpg,/jSTglzkXYPMOI6sNdXGqGM02AP2.jpg,"Ordinary Anne Boonchuy, 13, finds a music box that sends her to Amphibia, a world full of frogs, toads, and giant insects. With help from Sprig, she must adjust to life in Amphibia and discover the first true friendship in her life.",,11,,,Imported from Plex section 2,,,,Disney Television Animation,,,1,7,plex,1,2026-03-08T16:47:36.938Z,2026-04-20T05:29:47.334Z,,,,,,"Brenda Song, Justin Felbinger, Amanda Leighton, Bill Farmer, On Braly, Brian Sounalath","[""digital""]",,,,,,,3,0,false,"Brenda Song, Justin Felbinger, Amanda Leighton, Bill Farmer, On Braly, Brian Sounalath"
3822,Andor,tv_series,,2022-09-20T00:00:00.000Z,2022,Digital,,Pablo R. Montenegro,,,83867,tv,https://www.themoviedb.org/tv/83867,/khZqmwHQicTYoS7Flreb9EddFZC.jpg,/ajztm40qDPqMONaSJhQ2PaNe2Xd.jpg,"In an era filled with danger, deception and intrigue, Cassian Andor will discover the difference he can make in the struggle against the tyrannical Galactic Empire. He embarks on a path that is destined to turn him into a rebel hero.",,60,,,Imported from Plex section 2,,,,Lucasfilm Ltd.,,,1,7,plex,1,2026-03-08T16:47:37.162Z,2026-04-20T05:29:47.683Z,,,,,,Diego Luna,"[""digital""]",,,,,,,2,2,true,Diego Luna
3823,Andromeda,tv_series,,2000-10-02T00:00:00.000Z,2000,Digital,,,,,2985,tv,https://www.themoviedb.org/tv/2985,/uAOyxeDiNwYU8GuOebU0FExh49C.jpg,/rY4HsR1MLlddyrotCDskeC4ROXb.jpg,Captain Dylan Hunt and the crew of the Andromeda Ascendant set out on a mission to rebuild the Systems Commonwealth 300 years after its fall.,,45,,,Imported from Plex section 2,,,,BLT Productions,,,1,7,plex,1,2026-03-08T16:47:37.374Z,2026-04-20T05:29:48.035Z,,,,,,"Kevin Sorbo, Lisa Ryder, Laura Bertram, Gordon Michael Woolvett, Lexa Doig, Brandy Ledford, Steve Bacic","[""digital""]",,,,,,,5,5,true,"Kevin Sorbo, Lisa Ryder, Laura Bertram, Gordon Michael Woolvett, Lexa Doig, Brandy Ledford, Steve Bacic"
3824,Another Life,tv_series,,2019-07-25T00:00:00.000Z,2019,Digital,,,,,79130,tv,https://www.themoviedb.org/tv/79130,/htazQ0cPoloL5SJ2bqOCKh9UTcc.jpg,/6ygiUWflbmz5p2LFc3COVHriQzK.jpg,"Set in the future, an anomaly from space appears in Earth's orbit and plants a stalk-like object into the ground. Humans attempt to determine what it is, why it's been placed there, and what's going to happen next, but it's taking too long to crack the code so they send a team into space to the source of the object to investigate further.",,45,,,Imported from Plex section 2,,,,Halfire Entertainment,,,1,7,plex,1,2026-03-08T16:47:37.641Z,2026-04-20T05:29:48.416Z,,,,,,"Katee Sackhoff, Justin Chatwin, Samuel Anderson, Elizabeth Faith Ludlow, Tongayi Chirisa, A.J. Rivera, Alexander Eling, JayR Tinaco","[""digital""]",,,,,,,2,2,true,"Katee Sackhoff, Justin Chatwin, Samuel Anderson, Elizabeth Faith Ludlow, Tongayi Chirisa, A.J. Rivera, Alexander Eling, JayR Tinaco"
3825,The Apothecary Diaries,tv_series,薬屋のひとりごと,2023-10-21T00:00:00.000Z,2023,Digital,,,,,220542,tv,https://www.themoviedb.org/tv/220542,/e3ojpANrFnmJCyeBNTinYwyBCIN.jpg,/gffVOVZ2Y9cmVIZ26Gt9ByMGCYH.jpg,"A young maiden is kidnapped and sold into servitude at the emperor's palace, where she secretly employs her pharmacist skills with the help of the head eunuch to unravel medical mysteries in the inner court.",,23,,,Imported from Plex section 2,,,,OLM,,,1,7,plex,1,2026-03-08T16:47:37.843Z,2026-04-20T05:29:48.700Z,,,,,,"Aoi Yuuki, Takeo Otsuka, Katsuyuki Konishi","[""digital""]",,,,,,,1,0,false,"Aoi Yuuki, Takeo Otsuka, Katsuyuki Konishi"
3826,Arcane,tv_series,Arcane: League of Legends,2021-11-06T00:00:00.000Z,2021,Digital,,Pascal Charrue,,,94605,tv,https://www.themoviedb.org/tv/94605,/abf8tHznhSvl9BAElD2cQeRr7do.jpg,/q8eejQcg1bAqImEV8jh8RtBD4uH.jpg,"Amid the stark discord of twin cities Piltover and Zaun, two sisters fight on rival sides of a war between magic technologies and clashing convictions.",,40,,,Imported from Plex section 2,,,,Fortiche Production,,,1,7,plex,1,2026-03-08T16:47:38.070Z,2026-04-20T05:29:48.994Z,,,,,,"Hailee Steinfeld, Ella Purnell","[""digital""]",,,,,,,1,0,false,"Hailee Steinfeld, Ella Purnell"
3827,Archie: The Man Who Became Cary Grant,tv_series,Archie,2023-11-23T00:00:00.000Z,2023,Digital,,Scott Bates,,,207759,tv,https://www.themoviedb.org/tv/207759,/omaHUkjfGf8W5HtnnmXpxplukTF.jpg,/x8tDrqodIG6GGhUjohN3lK5nP5B.jpg,"Four-part drama depicting the life of Hollywood's greatest leading man, Archibald Alexander Leach - A.K.A. Cary Grant.",,47,,,Imported from Plex section 2,,,,ITV Studios,,,1,7,plex,1,2026-03-08T16:47:38.262Z,2026-04-20T05:29:49.251Z,,,,,,"Jason Isaacs, Laura Aikman, Harriet Walter","[""digital""]",,,,,,,1,1,true,"Jason Isaacs, Laura Aikman, Harriet Walter"
