id,title,media_type,original_title,release_date,year,format,genre,director,rating,user_rating,tmdb_id,tmdb_media_type,tmdb_url,poster_path,backdrop_path,overview,trailer_url,runtime,upc,location,notes,season_number,episode_number,episode_title,network,type_details,series_id,space_id,library_id,import_source,added_by,created_at,updated_at,signed_by,signed_role,signed_on,signed_at,signed_proof_path,cast_members,owned_formats,estimated_value_low,estimated_value_mid,estimated_value_high,valuation_currency,valuation_source,valuation_last_updated,tv_season_count,tv_completed_season_count,tv_all_seasons_completed,cast
4877,(2006) Dark Horse Twenty Years,book,,2006-01-01T00:00:00.000Z,2006,Digital,"Comic books, strips, etc",,,,,movie,http://10.22.50.100:8083/opds/download/782/epub/,http://10.22.50.100:8083/opds/cover/782,,Full-page drawings representing titles in the history of Dark Horse Comics' publishing.,,,,,,,,,,"{""provider_name"":""cwa_opds"",""calibre_entry_id"":""urn:uuid:ee77905c-ebf1-4079-8eaf-cce13150b382"",""provider_item_id"":""urn:uuid:ee77905c-ebf1-4079-8eaf-cce13150b382"",""calibre_external_url"":""http://10.22.50.100:8083/opds/download/782/epub/"",""provider_external_url"":""http://10.22.50.100:8083/opds/download/782/epub/""}",,1,7,cwa_opds,1,2026-03-12T04:55:12.130Z,2026-04-06T06:35:42.527Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
4878,(2007) Groo 25 years special,book,,,,Digital,,,,,,movie,http://10.22.50.100:8083/opds/download/777/epub/,http://10.22.50.100:8083/opds/cover/777,,,,,,,,,,,,"{""provider_name"":""cwa_opds"",""calibre_entry_id"":""urn:uuid:021354e2-53d1-4b97-885c-db6f0fe8cb21"",""provider_item_id"":""urn:uuid:021354e2-53d1-4b97-885c-db6f0fe8cb21"",""calibre_external_url"":""http://10.22.50.100:8083/opds/download/777/epub/"",""provider_external_url"":""http://10.22.50.100:8083/opds/download/777/epub/""}",,1,7,cwa_opds,1,2026-03-12T04:55:12.713Z,2026-04-06T06:35:42.527Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
4879,(2010) Groo - One For One,book,,2020-01-08T00:00:00.000Z,2020,Digital,,,,,,movie,http://10.22.50.100:8083/opds/download/792/epub/,http://10.22.50.100:8083/opds/cover/792,,"Bridal and Groom Notebook Wedding Blank College Rule with Lined Journal Notebook Learn to Write in 6in x 9in x 120 Pages Journal Book to Write Diary and Take notes. Cute portable journal for the bride. 6 x 9 size fits perfectly in purse to use for wedding ideas - thoughts - notes - plans - and to do lists. A great gift for kids and students artists - kids - adults - students and creative people! Good quality white paper. 120 pages Suitable Size (6"" x 9"")",,,,,,,,,,"{""isbn"":""9781657409842"",""author"":""Bridal and Groom Notebook Wedding Blank College Rule"",""provider_name"":""cwa_opds"",""calibre_entry_id"":""urn:uuid:6e20bf12-6687-442a-b485-07a5a0a78449"",""provider_item_id"":""urn:uuid:6e20bf12-6687-442a-b485-07a5a0a78449"",""calibre_external_url"":""http://10.22.50.100:8083/opds/download/792/epub/"",""provider_external_url"":""http://10.22.50.100:8083/opds/download/792/epub/""}",,1,7,cwa_opds,1,2026-03-12T04:55:13.322Z,2026-04-06T06:35:42.527Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
7251,All Creatures Great and Small,book,,1998-04-15T00:00:00.000Z,1998,Digital,Biography & Autobiography,,,,,,,http://books.google.com/books/content?id=jPC2WRMZezQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,James Herriot reads from his books.,,,076783006997,,,,,,,"{""isbn"":""9780312965785"",""author"":""James Herriot"",""publisher"":""Macmillan""}",,1,7,manual,1,2026-04-05T04:25:18.842Z,2026-04-06T06:35:42.527Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
7190,Alpha Flight by John Byrne Omnibus [new Printing],book,,2023-10-24T00:00:00.000Z,2023,Hardcover,Comics & Graphic Novels,,,,,,,http://books.google.com/books/content?id=oFWnzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,"Legendary writer/artist John Byrne steers one of his greatest creations to glory! Exploding from the pages of X-MEN, Canada's premier super-team takes the Marvel Universe by storm before starring in its own Byrne-helmed series! Guardian, Shaman, Snowbird, Sasquatch, Aurora, Northstar, Puck and Marrina fight to protect Canada from injustice and evil - including the Master of the World, the maniacal alchemist Diablo and the terrifying Great Beasts! But they'll face their darkest defeat at the hands of rival Omega Flight. And when an Alphan falls, can the team fight on? Plus: Loki! The Hulk! And more! Collecting X-MEN (1963) #109, #120-121 and #139-140; INCREDIBLE HULK (1968) #272, #313 and ANNUAL #8; MACHINE MAN (1978) #18; MARVEL TWO-IN-ONE (1974) #83-84; ALPHA FLIGHT (1983) #1-29; X-MEN AND ALPHA FLIGHT (1985) #1-2; X-MEN/ALPHA FLIGHT (1998) #1-2; and material from MARVEL TEAM-UP ANNUAL #7.",,,9781302952716,,,,,,,"{""isbn"":""9781302952716"",""author"":""John Byrne, Marvel Various"",""edition"":""Hardcover"",""publisher"":""Marvel Universe""}",,1,7,manual,1,2026-04-02T02:34:51.408Z,2026-04-06T06:35:42.527Z,,,,,,,"[""hardcover""]",,,,,,,0,0,false,
7252,Alpha Flight by Mantlo and Lee Omnibus Jim Lee Cover,book,,2026-01-06T00:00:00.000Z,2026,Hardcover,Comics & Graphic Novels,,,,,,,http://books.google.com/books/content?id=nZNH0QEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,"Longtime Marvel writer Bill Mantlo teamed with rising star Jim Lee on a storied and never-before-collected run with Alpha Flight, Canada's premier super-team! Alpha Flight has a new home: Mansion Alpha! From this technologically advanced base, the team protects its nation from threats like Scramble, Deadly Ernest and the Great Beasts! Heather Hudson suits up as the new Vindicator and seeks out her old friend Wolverine to train her as a super hero! Meanwhile, Attuma pursues former Alphan Marrina, and it will take the combined forces of Alpha Flight and the Avengers to save her -- if she even wants to be saved! The persuasive Purple Girl joins Beta Flight, the trickster god Loki makes for a legendary opponent and Bedlam causes carnage for Department H! Even if the team can defeat this powerful foe from James Hudson's past, it won't be without a terrible cost -- and a dimension-hopping adventure may lead to the end of Alpha Flight as we know it! COLLECTING: Alpha Flight (1983) 30-70, Alpha Flight Annual (1986) 1-2, Avengers (1963) 272, Marvel Fanfare (1982) 28",,,9781302965389,,,,,,,"{""isbn"":""9781302965389"",""author"":""Bill Mantlo, James Hudnall"",""edition"":""Hardcover"",""publisher"":""Marvel Universe""}",,1,7,manual,1,2026-04-05T04:28:42.164Z,2026-04-06T06:35:42.527Z,,,,,,,"[""hardcover""]",,,,,,,0,0,false,
635,The Art of Guardians of the Galaxy,book,,2014-01-01T00:00:00.000Z,2014,Digital,Comics & Graphic Novels,"Javins, Marie",,,,movie,http://books.google.com/books?id=k2oJngEACAAJ&dq=isbn:9780785185536&hl=&source=gbs_api,http://books.google.com/books/content?id=k2oJngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,"Continuing their popular ART OF series of movie tie-in books, Marvel presents its latest blockbuster achievement! Featuring exclusive concept artwork, behind-the-scenes photographs, production stills, and in-depth interviews with the cast and crew, MARVEL'S GUARDIANS OF THE GALAXY: THE ART OF THE MOVIE is a deluxe keepsake volume that provides an insider's look into the making of the highly anti cipated film directed by James Gunn, and starring Chris Pratt , Zoe Saldana, Dave Bautista, featuring Vin Diesel as the voice of Groot, Bradley Cooper as the voice of Rocket, with John C. Reilly, Glenn Close as Commander Rael and Benicio Del Toro as the Collector.",,,9780785185536,,Edition: SLP,,,,,"{""isbn"":""0785185534"",""author"":""Javins, Marie"",""edition"":""SLP"",""publisher"":""Marvel""}",,1,7,csv_delicious,1,2026-03-08T04:48:27.272Z,2026-04-18T05:18:44.347Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
641,The Art of Guardians of the Galaxy 2,book,,2017-05-02T00:00:00.000Z,2017,Digital,Comics & Graphic Novels,"Johnston, Jacob",,,,movie,http://books.google.com/books?id=bNpbvgAACAAJ&dq=isbn:9781302902704&hl=&source=gbs_api,http://books.google.com/books/content?id=bNpbvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,"The Guardians are back! After saving the universe, Star-Lord, Gamora, Drax, Rocket and Groot find themselves with expunged records and a new mandate: Guard what needs guarding. Now, go inside the studio in this new collectible volume! Discover exclusive concept art, production stills, and commentary from cast and crew-including returning director James Gunn and Marvel's extraordinary Visual Development team. Complete your ART OF THE MOVIE collection with this latest installment as the Guardians soar to new heights!",,,9781302902704,,Edition: Slp,,,,,"{""isbn"":""9781302902704"",""author"":""Johnston, Jacob"",""edition"":""Slp"",""publisher"":""Marvel""}",,1,7,csv_delicious,1,2026-03-08T04:48:31.121Z,2026-04-18T05:28:49.379Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
608,The Bad Movie Bible: The Ultimate Modern Guide to Movies That Are so Bad They're Good,book,,2017-07-13T00:00:00.000Z,2017,Hardcover,Motion pictures,"Hill, Rob",,,,movie,http://books.google.com/books?id=W-QzswEACAAJ&dq=isbn:9780993240775&hl=&source=gbs_api,http://books.google.com/books/content?id=W-QzswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,"Whether you realise it or not, you probably enjoy bad movies. If you've ever been amused by cheesy '80s action, or laughed at a shoddy horror movie monster then you've paddled in the so-bad-it's-good shallows. The deep waters beyond can be intimidating, teeming as they are with dreck. But among the unmentionables are some of the most ridiculous and enjoyable movies ever made, you just need to know where to look. Exposing good-bad action movies, science fiction and fantasy, horror - and the rest - The Bad Movie Bible includes films such as Batman & Robin, The Room, Troll 2, Miami Connection, Nick Fury: Agent of Shield, Black Devil Doll From Hell, and Hell Comes to Frogtown The Bad Movie Bible is the first in the series of light-hearted movie bibles, analysing and eulogising cinematic subcultures. AUTHORS: Author Rob Hill has worked in the visual effects and post production industry for I5 years and has written widely on cinema and genre films. He co-wrote the multimillion selling 50I Movies and his most recent work is Top I0 Lists: Movies (both for Octopus Publishing Group). Editor Emma Hill has spent the past I4 years in illustrated non-fiction, working across a variety of genres including popular culture, craft, cookery, art and travel for the UK and co-edition markets. SELLING POINTS: * Most movies aren't very good. That shouldn't be a surprise to anyone. But nor should it be a surprise that some are so bad they possess a unique appeal arising specifically from their inadequacies. This book is a celebration of, and guide to, those movies * Analysis and reviews of 101 of the best good-bad movies of the last fifty years * Exclusive interviews with heroes and villains as diverse as Dame Joan Collins and Tommy Wiseau * First-hand accounts from genre legends who explain what went wrong, and why it isn't their fault * Unique behind-the-scenes images * Future classics are exposed, old mysteries solved 240 colour photographs",,,9780993240775,,,,,,,"{""isbn"":""0993240771"",""author"":""Hill, Rob"",""publisher"":""Movie Bibles""}",,1,7,csv_delicious,1,2026-03-08T04:48:03.918Z,2026-04-18T05:24:46.732Z,,,,,,,"[""hardcover""]",,,,,,,0,0,false,
7198,Dune,book,,1965-01-01T00:00:00.000Z,1965,Digital,Fiction,,,,,,http://books.google.com/books?id=ZnwFAQAAIAAJ&dq=intitle:dune&hl=&source=gbs_api,http://books.google.com/books/content?id=ZnwFAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,Paul Atreides moves with his family to the planet Dune and is forced into exile when his father's government is overthrown. The first book in the series. Copyright © Libri GmbH. All rights reserved.,,,,,,,,,,"{""author"":""Frank Herbert"",""publisher"":""Philadelphia : Chilton Books""}",,1,7,manual,1,2026-04-03T00:21:17.684Z,2026-04-06T06:35:42.527Z,,,,,,,"[""digital""]",,,,,,,0,0,false,
